Latitude,Longitude,Salon,Operator,CC,HC Time
35.818589,-80.877651,0390 - North Point Commons ,Shepherd,1,1
35.224016,-81.036134,1204 - Belmont Town Center ,Naylor,2,1
34.974504,-80.516772,1304 - Hilltop Plaza ,Bullard,3,1
35.560467,-80.414538,1348 - Country Oaks Shopping Center ,Shepherd,4,1
35.725259,-81.704222,1786 - Morganton Heights ,Bloodworth,5,1
35.255404,-80.459663,1981 - Villages at Red Bridge ,Shepherd,6,1
36.219409,-81.66272,2552 - New Market Centre ,Bloodworth,7,1
35.08649,-80.84828,2554 - Carmel Commons ,Bullard,8,1
35.128428,-80.702215,2568 - Sycamore Commons ,Lamba,9,1
35.929968,-81.52899,2570 - North Hill Crossing ,Bloodworth,10,1
35.584758,-80.98874,2645 - Village at Sherrills Ford ,Shepherd,11,1
35.275442,-81.531107,2695 - Creekside Plaza ,Bloodworth,12,1
35.06625,-80.771028,3002 - Providence Commons ,Bloodworth,13,1
35.451402,-80.606386,3004 - Cloverleaf Plaza ,Shepherd,14,1
35.442265,-80.861232,3009 - Northcross ,Brooker,15,1
34.957478,-81.045228,3015 - Food Lion Plaza ,Bullard,16,1
35.667645,-80.497433,3020 - Alexander Point ,Naylor,17,1
35.65203,-80.461169,3023 - Innes Street Market ,Shepherd,18,1
35.119882,-81.08074,3025 - Landing Station ,Bullard,19,1
35.772535,-81.327603,3026 - Belle Hollow Shopping Center ,Naylor,20,1
35.259333,-81.113552,3027 - Franklin Square,Bullard,21,1
35.058347,-80.814793,3028 - Stonecrest ,Bloodworth,22,1
35.117145,-80.825081,3031 - Old Towne Village ,Bloodworth,23,1
35.701589,-81.310287,3034 - Hickory Ridge Shopping Center ,Brooker,24,1
35.408805,-80.862597,3039 - Rosedale Commons ,Brooker,25,1
35.371483,-80.783382,3040 - Shoppes at Highland Creek ,Naylor,26,1
35.012181,-80.565582,3043 - Roosevelt Commons ,Bullard,27,1
35.161154,-80.849552,3045 - Park Selwyn Bullard,Bullard,28,1
35.326716,-80.941455,3047 - Riverbend Village ,Brooker,29,1
35.586043,-80.875885,3048 - Morrison Plantation ,Brooker,30,1
35.444061,-80.995475,3049 - Waterside Crossing ,Brooker,31,1
35.491074,-81.247577,3051 - Lincoln Center ,Bloodworth,32,1
35.320895,-80.651649,3052 - Schoolhouse Commons ,Shepherd,33,1
35.083631,-80.733482,3053 - Plantation Market ,Bullard,34,1
35.171815,-80.806905,3055 - Providence Village ,Shepherd,35,1
35.105597,-80.807399,3056 - Colony Place ,Lamba,36,1
35.029472,-80.850358,3057 - Hunter's Crossing Zena Tapia,Tapia,37,1
34.939974,-80.980843,3058 - Crown Pointe Plaza ,Bullard,38,1
34.999816,-80.699511,3060 - Village Commons ,Bloodworth,39,1
35.170264,-80.660883,3062 - Mint Hill Commons ,Bullard,40,1
35.03532,-80.971547,3065 - West Town Market Zena Tapia,Tapia,41,1
35.692682,-81.358337,3067 - Mountain View Marketplace ,Bloodworth,42,1
35.442874,-80.895252,3069 - Regency Village ,Naylor,43,1
35.047218,-80.648022,3071 - Shops at Sun Valley ,Bullard,44,1
35.342162,-80.178125,3073 - Olive Place Center ,Shepherd,45,1
35.29682,-80.738218,3074 - Town Center Plaza ,Shepherd,46,1
35.101208,-80.985876,3075 - Rivergate ,Lamba,47,1
34.979924,-81.089912,3446 - Walmart Newport ,Bullard,48,1
35.178323,-80.756282,3545 - Meridian Place,Bullard,49,1
34.987584,-80.772582,3685 - Marvin Gardens,Bullard,50,1
35.370383,-80.548119,3869 - Southgate Commons ,Shepherd,51,1
35.16139,-80.972476,5000 - Berewick Town Center ,Lamba,52,1
35.396792,-80.661321,5797 - Willow Oaks Crossing ,Shepherd,53,1
35.216361,-81.15739,7117 - Kendrick Crossing ,Shepherd,54,1
35.209515,-80.835755,7139 - Midtown Terrace ,Bloodworth,55,1
35.057587,-80.934863,7728 - Springfield Town Center ,Bullard,56,1
35.04343,-80.849392,7732 - Ballantyne Town Center ,Lamba,57,1
35.481024,-80.856408,7757 - Antiquity Town Center ,Naylor,58,1
35.47824,-80.893933,8857 - Jetton Village ,Naylor,59,1
35.418225,-80.743044,9010 - Cannon Crossroads Shopping Center ,Naylor,60,1
35.790439,-80.85925,9085 - Broad Street Plaza ,Shepherd,61,1
35.046993,-80.991462,9433 - Graystone Crossing Zena Tapia,Tapia,62,1
35.602517,-80.894408,9439 - Byer's Creek ,Brooker,63,1
35.780054,-81.391855,9448 - Shoppes at RiverCrest ,Brooker,64,1
35.420053,-80.67647,9454 - Afton Ridge ,Shepherd,65,1
34.937432,-80.838284,9478 - Carolina Commons ,Bullard,66,1
35.097744,-80.77936,9489 - Arboretum Shopping Center ,Bullard,67,1
35.554093,-80.855919,9674 - Mooresville Gateway ,Naylor,68,1
35.259884,-81.223432,9682 - Samarth Plaza ,Shepherd,69,1
34.954344,-80.759457,9689 - Cureton Plaza,Bullard,70,1
35.22209,-81.10142,4093- New Hope Commons Matthew Sheperd,Shepherd,71,1
35.22490755,-80.63632328,4127- Clear Creek,Lamba,72,1
